CustomerID,Country,State,City,Zip Code,Phone Number,Lat Long,Gender,Senior Citizen,Age,Birthday,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Number of Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,CLTV,Churn Reason,Name,Churn Score
8775-LHDJH,United States,California,San Jose,95136,555-663-4327,"37.270938, -121.851046",Female,Yes,73,3/28,Yes,No,1,Yes,Yes,3,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.6,90.6,1,2905,Don't know,Michelle Garcia,86
0516-QREYC,United States,California,Capay,95607,555-603-1529,"38.681651, -122.130569",Female,Yes,64,6/18,No,No,24,Yes,No,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.3,459.95,0,3740,,Teresa Maynard,67
1670-SVOWZ,United States,California,Mira Loma,91752,555-453-9159,"33.999992, -117.535395",Female,No,29,5/4,Yes,No,14,Yes,No,,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),89.65,1208.35,1,2504,Competitor offered higher download speeds,David Campos,86
3066-RRJIO,United States,California,San Francisco,94132,555-837-3125,"37.722302, -122.491129",Female,No,16,6/28,No,No,1,Yes,No,,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.95,69.95,1,5341,Competitor made better offer,Wallace Frye,84
9514-JDSKI,United States,California,El Monte,91732,555-991-3124,"34.074492, -118.01462",Male,Yes,102,6/7,Yes,No,1,No,No phone service,,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,1,5828,Limited range of services,Jacqueline Richardson,89
2397-BRLOM,United States,California,San Rafael,94901,555-299-5250,"37.972662, -122.491452",Male,Yes,90,11/16,Yes,No,8,Yes,No,,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),80.45,583.45,1,3443,Don't know,James Vesey,78
5759-RCVCB,United States,California,Orange,92869,555-251-6444,"33.792791, -117.789749",Female,No,21,8/4,No,No,3,No,No phone service,,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),35.2,108.95,1,5450,Attitude of service provider,Clarence Stevens,100
3170-NMYVV,United States,California,Compton,90222,555-723-3922,"33.912246, -118.236773",Female,No,16,11/21,Yes,No,50,Yes,No,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,5849,,Bess Watkins,92
4257-GAESD,United States,California,Dinuba,93618,555-839-6497,"36.523619, -119.386868",Female,No,41,1/20,No,No,6,No,No phone service,,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),45,298.7,0,2270,,Edwin Daniels,77
1022-RKXDR,United States,California,South El Monte,91733,555-511-1698,"34.04622, -118.053753",Female,No,55,6/3,No,No,41,Yes,Yes,4,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,24.85,962.25,0,3089,,Gary Minter,97
4137-BTIKL,United States,California,Daggett,92327,555-855-7469,"34.875144, -116.821698",Male,No,48,4/15,No,No,2,Yes,Yes,1,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,90.75,174.75,0,4766,,Spencer Johnson,74
7495-OOKFY,United States,California,Los Angeles,90063,555-238-4940,"34.044271, -118.185237",Female,Yes,80,12/17,Yes,Yes,8,Yes,Yes,2,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,5302,Competitor made better offer,John Lewis,66
1658-BYGOY,United States,California,Los Angeles,90065,555-342-6362,"34.108833, -118.229715",Male,Yes,65,8/13,No,Yes,18,Yes,Yes,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,3179,Competitor made better offer,James Kagan,65
4598-XLKNJ,United States,California,Inglewood,90303,ult,"33.936291, -118.332639",Female,Yes,95,5/12,Yes,Yes,25,Yes,No,,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,5337,Limited range of services,Donald Painter,70
4846-WHAFZ,United States,California,Whittier,90602,555-212-2168,"33.972119, -118.020188",Female,Yes,62,2/6,Yes,Yes,37,Yes,Yes,5,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,2793,Extra data charges,Bruce Suggs,90
8779-QRDMV,United States,California,Los Angeles,90022,555-197-5706,"34.02381, -118.156582",Male,Yes,79,2/21,No,No,1,No,No phone service,,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,5433,Competitor offered more data,Jessica Williams,82
4412-YLTKF,United States,California,Pico Rivera,90660,555-570-6244,"33.989524, -118.089299",Female,Yes,77,12/26,No,Yes,27,Yes,Yes,3,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,1,4638,Service dissatisfaction,Leon Jozwiak,69
0390-DCFDQ,United States,California,Los Alamitos,90720,555-402-1323,"33.79499, -118.065591",Female,Yes,92,10/27,Yes,Yes,1,Yes,No,,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,1,3964,Don't know,Christine Carsey,81
2656-FMOKZ,United States,California,Pasadena,91106,555-713-9940,"34.139402, -118.128658",Female,Yes,101,3/17,No,Yes,15,Yes,Yes,2,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,1,5717,Limited range of services,Stefanie Martin,96
2070-FNEXE,United States,California,Pasadena,91107,555-757-3433,"34.159007, -118.087353",Female,Yes,93,11/2,No,Yes,7,Yes,No,,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,1,4419,Lack of affordable download/upload speed,Andrea Mendez,87
0094-OIFMO,United States,California,North Hollywood,91605,555-732-5552,"34.207295, -118.400022",Female,Yes,105,6/29,No,Yes,11,Yes,No,,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95,1120.3,1,5980,Product dissatisfaction,Santos Ford,70
9947-OTFQU,United States,California,Covina,91722,555-531-9205,"34.097345, -117.906736",Male,Yes,86,10/30,No,No,15,Yes,No,,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,1,4616,Service dissatisfaction,Patricia Rockmore,86
3606-TWKGI,United States,California,Rowland Heights,91748,555-857-7112,"33.976753, -117.897367",Male,Yes,64,9/15,No,No,13,Yes,Yes,2,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,1,2494,Extra data charges,Jesus Droessler,66
4385-GZQXV,United States,California,Ontario,91764,555-636-3053,"34.074087, -117.605618",Female,Yes,96,1/28,No,No,16,Yes,No,,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,1,3810,Product dissatisfaction,Richard Young,88
3488-PGMQJ,United States,California,Alpine,91901,555-556-3282,"32.827184, -116.703729",Male,Yes,94,11/25,No,No,8,Yes,No,,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,1,4345,Poor expertise of online support,Donna Finlay,86
7534-BFESC,United States,California,Boulevard,91905,555-142-5750,"32.677097, -116.304991",Male,Yes,87,11/8,No,No,24,Yes,Yes,2,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,1,2018,Price too high,Samuel Young,75
8098-LLAZX,United States,California,Jacumba,91934,555-368-2665,"32.649787, -116.2237",Female,Yes,104,11/21,No,No,4,Yes,Yes,2,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,1,3677,Service dissatisfaction,Charles Douglas,67
0265-EDXBD,United States,California,Mount Laguna,91948,555-750-9091,"32.830852, -116.444601",Male,Yes,73,3/1,Yes,No,32,Yes,Yes,2,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,1,4105,Lack of self-service on Website,Patrick Bonner,87
2840-XANRC,United States,California,Del Mar,92014,555-157-9227,"32.948262, -117.256086",Male,Yes,89,3/29,Yes,No,24,Yes,No,,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,1,2212,Lack of affordable download/upload speed,Mary Kolasinski,76
5804-LEPIM,United States,California,Escondido,92029,555-990-6908,"33.079834, -117.134275",Female,Yes,92,10/14,No,No,2,Yes,No,,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,1,2671,Extra data charges,Rebecca Strand,95
0533-BNWKF,United States,California,Palm Desert,92211,555-816-3051,"33.762759, -116.324817",Female,Yes,88,2/15,Yes,No,55,Yes,Yes,4,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.45,4874.7,1,5502,Lack of affordable download/upload speed,Annie Mckinnis,99
