CustomerID,Country,State,City,Zip Code,Phone Number,Lat Long,Gender,Senior Citizen,Age,Birthday,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Number of Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,CLTV,Churn Reason,Name,Churn Score
9530-EHPOH,United States,California,El Cajon,92019,555-547-1171,"32.785165, -116.862648",Male,No,29,6/24,No,No,11,Yes,Yes,5,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,53.75,608,1,3407,Competitor had better devices,Annie Osborne,81
6064-ZATLR,United States,California,Llano,93544,555-536-7979,"34.500091, -117.765862",Female,No,50,11/27,No,No,27,Yes,No,,DSL,Yes,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),52.85,1498.65,0,2842,,Mittie Inman,64
4609-KNNWG,United States,California,Dunnigan,95937,555-211-2243,"38.931425, -121.946081",Female,No,52,3/9,Yes,Yes,27,Yes,No,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.9,550.1,0,4870,,Kristine Spann,50
2676-ISHSF,United States,California,Anderson,96007,555-608-6630,"40.448632, -122.306657",Male,No,19,9/15,No,No,1,Yes,No,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.3,20.3,0,5203,,James Camacho,48
8840-DQLGN,United States,California,Burbank,91502,555-856-3642,"34.177267, -118.31003",Female,Yes,89,5/22,Yes,No,35,Yes,Yes,4,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),100.5,3653.35,1,4745,Attitude of support person,Warren Veilleux,88
2623-DRYAM,United States,California,Jamul,91935,555-761-7200,"32.695681, -116.798386",Female,No,58,2/13,Yes,No,70,Yes,Yes,4,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,101.75,7069.3,0,5596,,Jamie Paradis,38
6424-ELEYH,United States,California,Lebec,93243,555-488-1089,"34.845861, -118.885163",Female,No,62,2/7,Yes,No,3,Yes,Yes,3,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.75,229.5,1,3972,Attitude of service provider,Courtney Bush,55
9822-OAOVB,United States,California,Santa Maria,93455,555-946-4373,"34.818227, -120.418784",Female,No,32,11/9,No,No,1,Yes,No,,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.45,55.45,0,5286,,Stephanie Gresham,44
2302-ANTDP,United States,California,Hat Creek,96040,555-347-6855,"40.789799, -121.474529",Female,Yes,68,9/29,Yes,No,48,Yes,Yes,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,117.45,5438.9,1,5915,Competitor offered more data,Stephen Culnane,69
7055-HNEOJ,United States,California,El Dorado Hills,95762,555-840-8903,"38.684437, -121.055634",Male,No,37,2/11,Yes,No,3,Yes,No,,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,55.8,154.55,0,2662,,Kenneth Krall,31
4694-PHWFW,United States,California,San Francisco,94105,555-666-7586,"37.789168, -122.395009",Female,No,19,4/26,No,Yes,8,Yes,No,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,170.9,0,5919,,Randy Oswald,26
1730-ZMAME,United States,California,Ontario,91762,555-578-4202,"34.057256, -117.667677",Female,Yes,60,7/11,No,No,32,Yes,No,,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.5,2665,0,3041,,Mike Coppinger,98
5286-YHCVC,United States,California,Laton,93242,555-964-6507,"36.444232, -119.718285",Male,No,20,5/5,Yes,No,72,Yes,Yes,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),104.8,7470.1,0,4165,,Robert Taylor,79
7649-SIJJF,United States,California,Emeryville,94608,555-918-8221,"37.83726, -122.287648",Male,No,18,9/19,Yes,No,71,Yes,Yes,5,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,80.1,5585.4,0,6045,,Shannon Daniels,45
0829-XXPLX,United States,California,Cutler,93615,555-727-4205,"36.497895, -119.285484",Female,No,62,5/22,No,No,20,Yes,No,,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.4,1871.15,0,2098,,Evelyn Matlock,78
5081-NWSUP,United States,California,San Jose,95122,555-900-4931,"37.32886, -121.834567",Female,No,27,5/19,No,No,10,Yes,No,,DSL,No,Yes,No,Yes,No,Yes,One year,No,Mailed check,64.9,685.55,0,4883,,Anna Makin,46
1767-TGTKO,United States,California,Dana Point,92629,555-334-7705,"33.477923, -117.705314",Female,No,29,3/8,Yes,Yes,8,Yes,No,,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.45,411.75,0,4651,,Kari Schoch,26
8819-ZBYNA,United States,California,Murrieta,92562,555-974-4589,"33.548869, -117.334165",Female,No,52,7/26,Yes,No,58,Yes,Yes,5,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),109.1,6393.65,0,4935,,Leon Bradley,23
4999-IEZLT,United States,California,Susanville,96130,555-793-1337,"40.559177, -120.612113",Male,No,20,8/2,No,No,66,No,No phone service,,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),29.45,1983.15,0,5112,,Richard Bell,62
0895-DQHEW,United States,California,Burney,96013,555-995-1264,"40.946785, -121.719489",Male,No,44,6/15,Yes,No,54,Yes,Yes,2,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.3,5278.15,1,4019,Competitor offered more data,Thomas Davis,49
6331-LWDTQ,United States,California,Rialto,92377,555-272-5329,"34.156758, -117.404686",Male,No,50,8/31,No,No,10,Yes,Yes,2,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),72.15,794.25,1,2457,Limited range of services,Leticia Obrien,68
0576-WNXXC,United States,California,Parlier,93648,555-387-8393,"36.622237, -119.521126",Male,Yes,62,2/24,Yes,No,27,Yes,Yes,4,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.55,2510.2,1,2999,Service dissatisfaction,Christopher Widdows,97
2460-FPSYH,United States,California,Exeter,93221,555-274-4454,"36.301689, -119.018233",Female,Yes,101,11/5,No,No,40,No,No phone service,,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.8,2109.35,1,4272,Attitude of support person,Tommy Metz,84
